Car Brand,Car Model,Production Year,Mileage,Price,Description,Specs,Timestamp,Location
Nissan,Murano,2005,"205,000 km",10000,NISSAN MURANO 2005,GCC Specs,45354.94097,Abu Dhabi
Kia,Rio,2007,"240,000 km",10000,Car for sale ط³ظٹط§ط±ط© ظ„ظ„ط¨ظٹط¹,Korean Specs,45354.94097,Abu Dhabi
Toyota,Yaris,2007,"300,000 km","10,500",Waqas Ahmed,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,2009,"300,000 km","10,500",Shj,GCC Specs,04-03-24 14:49,Dubai
Kia,Rio,2007,"90,000 km","10,500",Dubai,GCC Specs,04-03-24 14:49,Dubai
Kia,Optima,2009,"175,000 km","10,500",Kia optima 2009 model gcc spec good condition,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2011,"201,300 km","10,500",NISSAN NISSAN ALTIMA MODEL 2011 GCC SPEC IN EXCELLENT CONDITION,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2009,"256,321 km","10,500",Ford Focus 2009 GCC,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2010,"148,138 km","10,900",Nissan Alteema,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2013,"190,000 km","10,900",Good condition RTA passed 1.4 engine very economic,GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2007,"106,899 km","10,990",want sell my car call me no more negotiation,GCC Specs,04-03-24 14:49,Dubai
Toyota,Corolla,2007,"372,000 km","11,000",Mr,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,2004,"188,000 km","11,000",Toyota Camry 2004 For Sale طھظˆظٹظˆطھط§ ظƒط§ظ…ط±ظٹ 2004 ظ„ظ„ط¨ظٹط¹,American Specs,04-03-24 14:49,Dubai
Toyota,Camry,2005,"230,000 km","11,000",Toyota Camry 2005 Model Full Option Car For Sale,American Specs,04-03-24 14:49,Dubai
Toyota,Camry,2008,"290,000 km","11,000",2008 Toyota Camry Full Option with special color,GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2008,"281,000 km","11,000","Toyota yaris for sale, 2008 GCC",GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,2007,"440,000 km","11,000",HONDA ACCORD,GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,2006,"211,000 km","11,000",Honda Accord V4 2006 - GCC,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2010,"300,000 km","11,000",Nissan Altima 2010 for Sale,GCC Specs,04-03-24 14:49,Dubai
Ford,Explorer,2006,"125,918 km","11,000",Ford Explorer XLT Black,American Specs,04-03-24 14:49,Dubai
Ford,Fiesta,2010,"265,000 km","11,000",Ford Fiesta 2010 Gcc urgent selling ready for use,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2010,"145,000 km","11,000",For sale ford focus 2010 model full option gcc,GCC Specs,04-03-24 14:49,Dubai
Ford,Figo,2015,"230,000 km","11,000",ظپظˆط±ط¯ ظپظٹط¬ظˆ2015,GCC Specs,04-03-24 14:49,Dubai
Nissan,Murano,2008,"230,000 km",11000,Nissan Murano 2008 good condition,GCC Specs,45354.94097,Abu Dhabi
Chevrolet,Aveo,2014,"183,945 km",11000,CHEVROLET AVEO 2014,Korean Specs,45354.94097,Abu Dhabi
Chevrolet,Spark,2014,"190,000 km",11000,Chevrolet Spark 2014 GCC,GCC Specs,45354.94097,Abu Dhabi
Kia,Picanto,2007,"74,000 km","11,200",Kia picanto GCC Low mileage (74000km),GCC Specs,04-03-24 14:49,Dubai
Ford,Figo,2013,"201,500 km","11,300",Arjan leving County lady driveing super clean car for arjent for sale like new condition,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2011,"215,000 km","11,450",Ford Focus 2011 top with Sun roof,GCC Specs,04-03-24 14:49,Dubai
Toyota,Corolla,2004,"290,000 km","11,500",corolla station wagon,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2011,"327,000 km","11,500",FIRST OWNER NISSAN ALTIMA 2011 GCC FULL OPTION.  11500 .,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2009,"245,000 km","11,500",Nissan Tiida 2009 GCC,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2010,"261,000 km","11,500",Nissan altima SV 2.5. 2010 model.,GCC Specs,04-03-24 14:49,Dubai
Nissan,Versa,2011,"266,400 km","11,500",Nissan Versa (Family Car),American Specs,04-03-24 14:49,Dubai
Nissan,Altima,2012,"237,000 km","11,500",Nissan altima GGC SPEC,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2008,"313,000 km","11,500",Nissan Altima V6 3.5L GCC,GCC Specs,04-03-24 14:49,Dubai
Ford,Figo,2015,"188,500 km","11,500",Ford Figo 2015 Model - For sale,GCC Specs,04-03-24 14:49,Dubai
Ford,Explorer,2007,"209,000 km","11,500",FORD EXPLORER 2007 - MAROON,American Specs,04-03-24 14:49,Dubai
Ford,Explorer,2009,"162,563 km","11,500",Ford Explorer 2009 Model 7 SEATS No2 option ( GCC SPEC ) car for sale .,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2008,"297,000 km","11,850",First Owner!! 2008 Nissan Altima GCC Specs in an Excellent Condition,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,2007,"166,200 km","11,900",Camry for sale,American Specs,04-03-24 14:49,Dubai
Nissan,Altima,2010,"270,000 km","11,900",ACCIDENT FREE WELL MAINTAINED 2010 NISSAN ALTIMA GCC WHITE PEARL IN EXCELLENT CONDITION,GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2009,"220,000 km","12,000",TOYOTA YARIS 2009 MODEL GCC SPACE CAR FOR SALE,GCC Specs,04-03-24 14:49,Dubai
Toyota,Corolla,2002,"435,000 km","12,000",2002 TOYOTA COROLLA 1.8 FULL OPTION FOR SALE,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,2002,"299,000 km","12,000",Toyota camry 2002 - Well maintained,GCC Specs,04-03-24 14:49,Dubai
Honda,MR-V,2004,"400,000 km","12,000",Honda MRV,GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,2009,"193,000 km","12,000",Honda Accord 2009 Low mileage,GCC Specs,04-03-24 14:49,Dubai
Nissan,Murano,2008,"150,000 km","12,000",Nissan Murano for sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2007,"203,203 km","12,000",Nissan Tiida,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2012,"261,000 km","12,000",NISSAN SUNNY 2012 KOREAN,Korean Specs,04-03-24 14:49,Dubai
Nissan,Altima,2012,"200,000 km","12,000",Nissan Altima amazing car,American Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2011,"170,000 km","12,000",NISSAN TIDA GCC FULL AUTOMATIC 2011,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2013,"399,800 km","12,000",Nissan Sunny 2013 GCC,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2005,"417,000 km","12,000",Nissan Altima 2005 ready to drive,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2012,"340,000 km","12,000",2012 Nissan Altima 2.5S,GCC Specs,04-03-24 14:49,Dubai
Nissan,X-Trail,2012,"300,000 km","12,000",2012 Nissan X-Trail 2.5L,Japanese Specs,04-03-24 14:49,Dubai
Nissan,Pathfinder,2003,"262,000 km","12,000",NISSAN PATHFINDER SE V6 3.5L 2003 MODLE GCC SPECS REF.1080 (RK),GCC Specs,04-03-24 14:49,Dubai
Ford,Edge,2007,"300,000 km","12,000",Ford Edge 2007 GCC,GCC Specs,04-03-24 14:49,Dubai
Ford,Edge,2008,"260,000 km","12,000",Ford Edge for sale-2008 model Limited edition,American Specs,04-03-24 14:49,Dubai
Ford,Explorer,2009,"200,000 km",12000,ط´ط§ط±ط¹ ط§ظ„ظ…ط·ط§ط± - ط£ط¨ظˆط¸ط¨ظٹ,GCC Specs,45354.94097,Abu Dhabi
Nissan,Altima,2011,"270,000 km",12000,Nissan Altima - 10 year -  under single owner,GCC Specs,45354.94097,Abu Dhabi
Nissan,Pathfinder,2001,"204,341 km",12000,Clean Nissan Pathfinder 2001,GCC Specs,45354.94097,Abu Dhabi
Nissan,Altima,2012,"299,999 km",12000,Altima 2012,American Specs,45354.94097,Abu Dhabi
Nissan,Pathfinder,2008,"234,000 km",12000,Nissan pathfinder 2008,GCC Specs,45354.94097,Abu Dhabi
Chevrolet,Avalanche,2005,"551,600 km",12000,Chevrolet avalanche for sale,American Specs,45354.94097,Abu Dhabi
Nissan,Micra,2012,"117,000 km","12,200",Unbelievable in price and condition full automatic gcc lady driver only 12200,GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,2007,"323,000 km","12,250",Honda Accord 2007 for Sale,GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2010,"351,000 km","12,500",TOYOTA YARIS 2010 MODEL GCC PERFECT WORKING CONDITION NEAT AND CLEAN CAR,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Tucson,2008,"250,000 km","12,500",Hyundai Tucson 2008 medel,GCC Specs,04-03-24 14:49,Dubai
Honda,Civic,2007,"363,800 km","12,500",Honda civic full option,Japanese Specs,04-03-24 14:49,Dubai
Honda,Civic,2006,"300,000 km","12,500",HONDA CIVIC GCC 2006 PERFECT CONDITION  FOR SALE,GCC Specs,04-03-24 14:49,Dubai
Honda,Civic,2006,"388,072 km","12,500",Honda civic,Japanese Specs,04-03-24 14:49,Dubai
Honda,Accord,2007,"420,000 km","12,500",Perfect Honda accord full options 2007 ظ‡ظˆظ†ط¯ط§ ط§ظƒظˆط±ط¯ ظ†ط¶ظٹظپط©,GCC Specs,04-03-24 14:49,Dubai
Nissan,Micra,2013,"225,000 km","12,500",Nissan Micra HB Gulf Space Simi Automatic With Excellent Condition,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2009,"142,776 km","12,500",NISSAN ALTIMA GCC SPEC FULL OPTION,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2011,"250,000 km","12,500",Nissan tiida 2011 model,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2012,"356,000 km","12,500",Nissan Tiida 2012 for sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2012,"135,100 km","12,500",Nissan Altima 2.5s 2012 Model No2 Option Cruise Control fully Automatic GCC urgent for Sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Qashqai,2008,"169,200 km","12,500",Nissan Qashqai SE 4wd 2008 Model No1 Option fully Automatic GCC urgent for Sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2011,"217,000 km","12,500",Nissan Tida 2011,GCC Specs,04-03-24 14:49,Dubai
Ford,Explorer,2008,"252,000 km","12,500",Ford Explorer Gcc 2008 7 seater very clean fully serviced,GCC Specs,04-03-24 14:49,Dubai
Ford,Figo,2013,"167,000 km","12,500","Ford Figo 2013 GCC, well maintained on time,in excellent condition for sale",GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2012,"203,000 km","12,500",Ford focus 1.6 2012. GCC specifications. Perfect condition,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2009,"180,000 km","12,500","For sale, clean car",GCC Specs,04-03-24 14:49,Dubai
Ford,Explorer,2007,"289,823 km",12500,Ford Explorer 2007 Navy Blue *URGENT SALE*,GCC Specs,45354.94097,Abu Dhabi
Nissan,Altima,2012,"302,496 km","12,700",Nissan Altima 2013,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2011,"260,000 km","12,800","Nissan tiida 2011 model gcc aed 12,800",GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2011,"288,000 km","12,900",Nissan TIIDA 2011 GCC Specs,GCC Specs,04-03-24 14:49,Dubai
Chevrolet,Spark,2014,"76,261 km",12900,Inspected Car | 2014 Chevrolet Spark 1.0L | GCC Specifications | Ref#155245,GCC Specs,45354.94097,Abu Dhabi
Toyota,Yaris,2010,"174,000 km","12,950",Toyota yaris 2010 hatchback,GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2012,"125,000 km","12,950",Ford Focus Hatch GCC Spec,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,2009,"248,000 km","12,999",Toyota Camry GCC 2009 test pass not taxi,GCC Specs,04-03-24 14:49,Dubai
Toyota,XA,2006,"260,000 km","12,999",Sharjah Mansoura,GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2007,"310,993 km","13,000",Toyota Yaris 2007 - Reliable and Efficient Car for Sale,Japanese Specs,04-03-24 14:49,Dubai
Toyota,Camry,2007,"211,551 km","13,000",2007 Camry in Great Mechanical Condition,GCC Specs,04-03-24 14:49,Dubai
Toyota,Corolla,2001,"105,000 km","13,000",Toyota corolla with Sunroof excellent condition,Korean Specs,04-03-24 14:49,Dubai
Toyota,Camry,2009,"303,000 km","13,000",Toyota Camry 2009 Dubai,GCC Specs,04-03-24 14:49,Dubai
Toyota,Camry,2009,"287,000 km","13,000",Toyota Camry 2009,American Specs,04-03-24 14:49,Dubai
Toyota,Corolla,2005,"268,000 km","13,000",Toyota Corolla 2005,Japanese Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2008,"268,000 km","13,000",Yaris 2008 Accident free 268000km,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Tucson,2008,"235,000 km","13,000",HYUNDAI TUCSON GCC 4x4 GOOD RUNNING CONDITION CAR FOR SALE,GCC Specs,04-03-24 14:49,Dubai
Hyundai,i10,2016,"210,000 km","13,000",Hyundai  i10 2016 GCC 1.2cc good condition,GCC Specs,04-03-24 14:49,Dubai
Hyundai,i10,2013,"80,000 km","13,000",Hyundai i10 2013 GCC URGENT SALE,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Accent,2014,"306,000 km","13,000",Hyundai Accent 2014,GCC Specs,04-03-24 14:49,Dubai
Honda,Civic,2008,"184,000 km","13,000",HONDA CIVIC,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2010,"185,000 km","13,000",NISSAN ALTIMA 2010 US SPEC//185000 km //V4 //2.5L,American Specs,04-03-24 14:49,Dubai
Nissan,Altima,2010,"330,000 km","13,000","Nissan Altima 2010, GCC Specs, Trim S, Driven 330K",GCC Specs,04-03-24 14:49,Dubai
Nissan,Murano,2008,"215,000 km","13,000","Well Maintained Nissan Murano-Location Safeer Mall- Al Ittihad Road Al Nahda, Sharjah",GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2009,"280,000 km","13,000",Nissan Altima 3.5SE V6 Coupe for sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2014,"159,000 km","13,000",Nissan Sunny 2014 Model GCC Space Car For Sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Murano,2008,"269,000 km","13,000",GREAT VALUE SUV+GREAT CANDITION+ORIGINAL PAINT LIKE NEWEST,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2016,"235,000 km","13,000",nissan sunny 2016,GCC Specs,04-03-24 14:49,Dubai
Nissan,Pathfinder,2006,"250,000 km","13,000",7 Seats strong car,American Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2011,"288,150 km","13,000",Nissan Sunny 2011,Korean Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2011,"220,000 km","13,000",Nissan virsa 2011 model,Other,04-03-24 14:49,Dubai
Nissan,Tiida,2012,"440,000 km","13,000",Nissan Tiida 2012 Model Asking Price 11500 Aed,GCC Specs,04-03-24 14:49,Dubai
Ford,Fiesta,2012,"230,000 km","13,000",Ford fiesta 2012,GCC Specs,04-03-24 14:49,Dubai
Ford,Explorer,2010,"291,000 km","13,000",Ford Explorer 2010,American Specs,04-03-24 14:49,Dubai
Ford,Focus,2013,"258,890 km","13,000",Ford Focus 2013 GCC,GCC Specs,04-03-24 14:49,Dubai
Ford,Mustang,2000,"233,333 km","13,000",Mustang v6 (automatic),Japanese Specs,04-03-24 14:49,Dubai
Ford,Figo,2013,"168,000 km","13,000",FORDFIGO WITH EXCELLENT CONDITION NO NEED TO INVEST ON CAR AFTER BUYING,GCC Specs,04-03-24 14:49,Dubai
Ford,Taurus,2013,"329,000 km","13,000",Ford Taurus 2013 Full Option with Roof,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Accent,2014,"190,000 km",13000,Accent,GCC Specs,45354.94097,Abu Dhabi
Chevrolet,Malibu,2014,"192,000 km",13000,ط´ظٹظپط±ظˆظ„ظٹظ‡ ظ…ط§ظ„ظٹط¨ظˆ 2014,American Specs,45354.94097,Abu Dhabi
Toyota,Yaris,2008,"135,000 km","13,500",Toyota Yaris Vios 2008 For Sale Japanese SPECS,Japanese Specs,04-03-24 14:49,Dubai
Hyundai,i10,2015,"185,000 km","13,500",Hyundai i10 2015 GCC,GCC Specs,04-03-24 14:49,Dubai
Hyundai,i10,2014,"160,000 km","13,500",Hyundai I10 2014,GCC Specs,04-03-24 14:49,Dubai
Hyundai,i10,2014,"219,000 km","13,500",Hyundai I 10 2014,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Sonata,2011,"628,700 km","13,500",hyundai sonata 2011 for sale,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Tucson,2010,"326,000 km","13,500",Hyundai Tucson,GCC Specs,04-03-24 14:49,Dubai
Honda,Accord,2010,"402,000 km","13,500",Honda accord 2010 V6 coupe,American Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2013,"300,000 km","13,500",Nissan Sunny 2013 1.5 GCC well maintained in excellent condition for sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2011,"114,000 km","13,500",2011 Nissan Sunny  ||GCC Specs ||Well Maintained Single Owner Low Mileage,GCC Specs,04-03-24 14:49,Dubai
Nissan,Tiida,2011,"298,000 km","13,500",Nissan Tida 2011 Model GCC Space Car For Sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Maxima,2010,"440,000 km","13,500",Maxima,GCC Specs,04-03-24 14:49,Dubai
Nissan,Qashqai,2008,"219,000 km","13,500",GCC NISSAN QASQAI 2008 MODEL,GCC Specs,04-03-24 14:49,Dubai
Nissan,Qashqai,2008,"120,000 km","13,500","Nissan QASHQAI SE AWD. Full option, 2008 model",GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2009,"215,928 km","13,500",NISSAN ALTIMA,American Specs,04-03-24 14:49,Dubai
Ford,Explorer,2008,"280,000 km","13,500",Ford explorer 2008 mint condition Gcc business bay,GCC Specs,04-03-24 14:49,Dubai
Ford,Fiesta,2011,"113,500 km","13,500",Ford fiesta 2011 GCC (114k km only ),GCC Specs,04-03-24 14:49,Dubai
Ford,Focus,2013,"163,000 km","13,500",FORD FOCUS 2013 MODEL GCC SPECS IN EXCELLENT CONDITION,GCC Specs,04-03-24 14:49,Dubai
Ford,Flex,2009,"334,253 km","13,500",2009 FORD FLEX LIMITED 7 SEATER,Canadian Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2014,"199,450 km","13,850",NISSAN SUNNY FOR SALE,GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2008,"260,000 km","13,900",Toyota Yaris 2008 GCC SPECS,GCC Specs,04-03-24 14:49,Dubai
Toyota,Corolla,2006,"151,000 km","13,900",Toyota Corolla Altis For Sale,Japanese Specs,04-03-24 14:49,Dubai
Nissan,Micra,2014,"195,565 km","13,900",Inspected Car | 2014 Nissan Micra S 1.5L | GCC Specifications | Ref#161191,GCC Specs,04-03-24 14:49,Dubai
Ford,Fiesta,2014,"142,000 km","13,900",ZERO ACCIDENT RTA PASSED 4 CYLENDER 1.4 LITTER 2014 FORD FIASTA HATCHBACK GCC IN EXCELLENT CONDITION,GCC Specs,04-03-24 14:49,Dubai
Ford,Figo,2015,"138,000 km","13,900","Ford Figo 2015, one-year Mulkia",GCC Specs,04-03-24 14:49,Dubai
Toyota,Other,2010,"139,000 km","14,000",TOYOTA VIOS 2010 SAME YARIS FULL AUTOMATIC 1.5  PERFECT CONDITION JUST BUY AND DRIVE,Japanese Specs,04-03-24 14:49,Dubai
Toyota,Sienna,2006,"219,286 km","14,000",TOYOTA SIENNA 2006 FOR SALE 14000 FIX PRICE,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Coupe,2007,"279,998 km","14,000",Hyundai Coupe - 2 Door Sports Car,GCC Specs,04-03-24 14:49,Dubai
Hyundai,Sonata,2012,"160,000 km","14,000",Hyundai sonata 2012 family use,American Specs,04-03-24 14:49,Dubai
Hyundai,i10,2014,"160,000 km","14,000",HYUNDAI i10 1.2L ENGINE MODEL 2014 GCC SPECS REF.2632 (P1),GCC Specs,04-03-24 14:49,Dubai
Kia,Sportage,2009,"257,557 km","14,000",Family used car,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2011,"117,000 km","14,000",ظ†ظٹط³ط§ظ† ط§ظ„طھظٹظ…ط§ 2011,GCC Specs,04-03-24 14:49,Dubai
Nissan,X-Trail,2009,"298,000 km","14,000",Nissan X Trail 2009 Model GCC Space 4X4 Car For Sale,GCC Specs,04-03-24 14:49,Dubai
Nissan,Sunny,2014,"234,000 km","14,000",For sell,GCC Specs,04-03-24 14:49,Dubai
Nissan,X-Trail,2008,"380,000 km","14,000",Nissan X-trail 4WD 2008 clean interior  exterior,GCC Specs,04-03-24 14:49,Dubai
Nissan,Altima,2015,"185,000 km","14,000",ط§ظ„ط´ط§ط±ظ‚ط© ط§ظ„ط®ط§ظ†,American Specs,04-03-24 14:49,Dubai
Ford,Explorer,2008,"182,000 km",14000,Ford Explorer XLT,GCC Specs,45354.94097,Abu Dhabi
Kia,Sportage,2009,"289,254 km",14000,KIA Sportage for Sale,GCC Specs,45354.94097,Abu Dhabi
Nissan,Sunny,2014,"192,000 km","14,200","Nissan Sunny 2014, GCC, Buy and drive",GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2007,"90,205 km","14,500",TOYOTA YARIS SEDAN MODEL 2007 GCC SPECS WITH POWER WINDOW  REF.8864 (P1),GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2010,"264,000 km","14,500",Toyota yaris for sale just buy and drive,GCC Specs,04-03-24 14:49,Dubai
Toyota,Yaris,2011,"424,000 km","14,500",Yaaris 2011,Japanese Specs,04-03-24 14:49,Dubai
Toyota,Corolla,2005,"140,000 km","14,500",Toyota Corolla Xli 1.8,Japanese Specs,04-03-24 14:49,Dubai
